csv,added,n_features,LOO_R2,LOO_MAE,delta_R2
desc_E_enhanced_w10.csv,radius_mean,3,0.563367615641344,0.47871786473977446,0.18395331976488716
desc_E_enhanced_w05_w10.csv,radius_mean,5,0.4972506302730728,0.5004371926664103,0.011875309288192804
desc_E_enhanced_w05_w10.csv,Wr,8,0.490799394458975,0.48445051822277035,0.005424073474095015
desc_E_enhanced_w05.csv,radius_mean,3,0.4897830896547357,0.5220714353792596,0.09199469764700396
desc_E_enhanced_w10.csv,max_mass,3,0.48713052279159674,0.49780554549380984,0.10771622691513993
desc_E_enhanced_w05_w10.csv,BASELINE (p_frac only),4,0.48537532098488,0.5119198601944278,0.0
desc_E_enhanced_w10.csv,Wr,4,0.4849986190484623,0.4970572029316065,0.1055843231720055
desc_E_enhanced_w10.csv,max_Z,3,0.4846070115695963,0.5032734299958355,0.10519271569313948
desc_E_enhanced_w10.csv,max_Z4,3,0.4846070115695963,0.5032734299958355,0.10519271569313948
desc_E_enhanced_w05_w10.csv,max_mass,5,0.46780510114465934,0.4993163326918477,-0.01757021984022067
desc_E_enhanced_w10.csv,X_mean,3,0.4664273290642349,0.5243045089654248,0.08701303318777809
desc_E_enhanced_w05_w10.csv,max_Z,5,0.4604173383237401,0.5042359496078107,-0.02495798266113991
desc_E_enhanced_w05_w10.csv,max_Z4,5,0.4604173383237401,0.5042359496078107,-0.02495798266113991
desc_E_enhanced_w05_w10.csv,radius_diff,5,0.45952210777120484,0.5123136912018362,-0.025853213213675175
desc_E_enhanced_w05_w10.csv,X_mean,5,0.45830538248037234,0.524772060114928,-0.027069938504507673
desc_E_enhanced_w05_w10.csv,X_diff,5,0.4571021133749996,0.519479425117223,-0.02827320760988039
desc_E_enhanced_w10.csv,X_diff,3,0.45241488255642104,0.5204684920070147,0.07300058667996423
desc_E_enhanced_w10.csv,radius_diff,3,0.44867147743627545,0.5306168060206403,0.06925718155981864
desc_E_enhanced_w05.csv,radius_diff,3,0.4270991505240823,0.5453365183599068,0.029310758516350566
desc_E_enhanced_w10.csv,WX,4,0.4262474646836323,0.5427203111696726,0.046833168807175474
desc_E_enhanced_w05.csv,Wr,4,0.42517664991557147,0.5226881488886748,0.02738825790783972
desc_E_enhanced_w05.csv,WX,4,0.4239197744567482,0.5144939007373772,0.02613138244901647
desc_E_enhanced_w05_w10.csv,pZ4,8,0.42234085157092804,0.5194902358681265,-0.06303446941395197
desc_E_enhanced_w05.csv,X_mean,3,0.4165942471073254,0.5471328578091632,0.01880585509959365
desc_E_enhanced_w05.csv,max_Z4,3,0.4076231628459478,0.5279112825827166,0.009834770838216045
desc_E_enhanced_w05.csv,max_Z,3,0.4076231628459478,0.5279112825827166,0.009834770838216045
desc_E_enhanced_w05_w10.csv,WX,8,0.4016002931411715,0.5337896766180945,-0.0837750278437085
desc_E_enhanced_w10.csv,WZ4,4,0.40081248631818056,0.5433619598379038,0.021398190441723752
desc_E_enhanced_w05_w10.csv,WZ4,8,0.3992356022103283,0.5154902183359321,-0.08613971877455173
desc_E_enhanced_w05.csv,BASELINE (p_frac only),2,0.39778839200773175,0.557463992374112,0.0
desc_E_enhanced_w05_w10.csv,WM,8,0.3974106795847553,0.5038423639066292,-0.08796464140012472
desc_E_enhanced_w05.csv,max_mass,3,0.3969244196631042,0.5307534115868386,-0.0008639723446275394
desc_E_enhanced_w10.csv,WM,4,0.3956062006635013,0.525076516570467,0.016191904787044464
desc_E_enhanced_w10.csv,pZ4,4,0.38604957510739946,0.5391667048184559,0.006635279230942648
desc_E_enhanced_w05.csv,pZ4,4,0.38565722373298716,0.5340001841699235,-0.012131168274744586
desc_E_enhanced_w05.csv,X_diff,3,0.38503560757055133,0.5510510013512891,-0.01275278443718042
desc_E_enhanced_w10.csv,BASELINE (p_frac only),2,0.3794142958764568,0.5641633322359335,0.0
desc_E_enhanced_w05.csv,WM,4,0.37243548861965514,0.529245997033938,-0.02535290338807661
desc_E_enhanced_w05.csv,WZ4,4,0.3566690823567462,0.5314189147467566,-0.041119309650985536
