uid,Formula,alpha_R,E_pfrac_VBM_w05,E_pfrac_CBM_w05,E_pfrac_VBM_w10,E_pfrac_CBM_w10
001e03f2c095,SSeW,3.288,0.20400847704719796,0.15385139487932922,0.224009385476083,0.19442028188538346
03bcf7dcdaf2,Sn2Te2,4.804,0.6395982024848003,0.8128259452411994,0.6785544244677716,0.8358953535587912
04fdd7d1ec5c,ClSbTe,1.018,0.9148500153292562,0.915593217033476,0.8840911585585108,0.9201929583105101
05a06afa3b20,WMo3Se8,1.643,0.1732631739495157,0.16640129338853102,0.22900368299032436,0.17766113078223006
0b7696e1f4c9,CrW3Se8,1.756,0.1418156570039924,0.10805842607313194,0.18130424254038618,0.1534142461286447
0c0fbdaf8f4a,ClSbSe,2.682,0.804787950185123,0.8035844885051758,0.7943110472668419,0.8322172034831463
0f02957b17cf,ISbTe,3.658,0.8226314474507389,0.8495579375490312,0.848391125348033,0.8724804784156919
114b3382699c,AsITe,0.579,0.9801604016191612,0.9225852152289535,0.9466262309905493,0.9096856795947482
11db0908d9ef,BiBrSe,0.393,0.8929259186275378,0.9226721473281861,0.9198579768745667,0.9316661883508595
159f028a85d0,CrMo3Te8,0.896,0.14985598256221294,0.07070331079264634,0.25696647107022974,0.12525950310503062
1667d1443160,TiHf3Te8,1.512,0.7339049009536139,0.19897501436141718,0.7032942480989642,0.15507922849140787
18e377cce57f,Ti2Zr2Te8,1.855,0.6747220967013103,0.16597535609589956,0.6431649598769135,0.12401235044377834
18e62ba75259,BrSbTe,2.631,0.8258113168339318,0.8070173166426109,0.83517716605127,0.8451200771706139
1a3bdd1b142a,HgTe,0.618,0.7321670047329278,0.6637727192518088,0.8163718961430929,0.6004465462984125
1a3be826b3e0,AsClSe,3.717,0.830448038176034,0.7921974168922818,0.8229245148495816,0.8258043654001617
1dcd471c2288,AsBrS,3.109,0.8171667500528035,0.8395957836840761,0.81239137651136,0.8750866369111423
20f098bd3f31,O2Pb2,1.914,0.8351683575552248,0.9201926519623643,0.8829775241595053,0.8990904811171163
211bcb7f05d6,GeSe,0.94,0.918841337993551,0.7270089984537553,0.9034063151276183,0.7457842356027244
24d6cc0a0fed,MoW3Se8,2.097,0.18304228908058068,0.18439654609913655,0.21107202868778394,0.18809030634768126
287dcf4f1a19,Bi2P2S6,1.406,0.8490174010908147,0.9024798032699965,0.8599441662300487,0.9027750754848929
2d41b3dd1772,BiITe,2.086,0.8845367752050843,0.910721764623761,0.9040246564075758,0.919259222337323
2ea941c8bc3c,MoSTe,2.525,0.228287841191067,0.23131925853129554,0.2656621523829215,0.24347653372836892
2f6f133abcc8,MoW3S8,2.241,0.19135515570015274,0.18422046055115138,0.21209197845012398,0.22500645648260575
304bc6a92d82,BiBrTe,1.13,0.9053969681076897,0.8935834778495978,0.8941369584845804,0.9109066585302883
323fb700d903,WMo3Te8,1.501,0.15040379343557828,0.12480992746657346,0.3014358700618786,0.13897000622964714
343d2125478e,ISbSe,1.17,0.9100978526400493,0.8956429177472562,0.8991816494298284,0.9133427007098202
3995fa1bee6e,Pb2Te6,3.064,0.8947827553613555,0.8139709946521838,0.8986972744902609,0.8492620158711233
3bc08d486d65,PbTe,2.18,0.9533342321301674,0.7334636444378673,0.9311785526870192,0.7994363268899549
3e1923c616ad,TiHf3Se8,1.256,0.8274988308514495,0.1774087841387212,0.7987767433307077,0.15944185782909334
3fb52099b370,MoCr3S8,1.221,0.1118259445549187,0.053595719597351946,0.15428122405671896,0.11084076633416923
40034665f9f1,BiIS,1.254,0.9867365542388333,0.9367760807806196,0.9468453737513559,0.9381116900544377
433f707c632c,BiISe,1.255,0.9822027340727366,0.9335455172942709,0.9371497425628621,0.9338553284954838
449640ec4d30,Mo2W2S8,1.954,0.18529143304211765,0.16225817497003941,0.20726338805496444,0.21468056786782738
49b7be14f786,BiBrS,1.293,0.8459036461586966,0.9064314352288869,0.8440266668986302,0.9145043455561068
4c49d27e66e5,ISSb,0.907,0.9559059624216433,0.881331605496134,0.9067714092588202,0.9212175840416547
4cb4ea247ef4,Ga2P2Te6,3.828,0.6904199394586762,0.6218526288187328,0.7732005190484386,0.6736048722630876
4da5c6be60db,BrSSb,2.39,0.7894155633693017,0.8455482044399626,0.7806803560540508,0.8606994436980863
4f1ab08988cc,TiZr3Te8,1.679,0.7165321685052195,0.14614887238669988,0.6849715466889554,0.13474401937250613
4fd8ad708fb0,AsClTe,2.895,0.8562089172580203,0.7735959153902261,0.8748022705579596,0.850388063665775
52a5e2b280d4,ZrTi3Se8,1.091,0.7434379235889275,0.1284412459812208,0.7405566209593908,0.11546536297938627
548aa830244c,Cr2W2Se8,1.39,0.1202703889035203,0.08410202577446228,0.16877299400649012,0.1398028194256778
5974b6403c31,Cr2W2S8,1.592,0.1264407828575849,0.09253704912952529,0.16812670758218465,0.157123881369535
5b94060698bc,ISSb,2.844,0.8006068298273925,0.876201289344835,0.8378311435722494,0.881194264676874
5c3fe56a1a89,MoW3Te8,2.045,0.1535348004043637,0.11455154906350425,0.28508198681466557,0.14123642572627182
5d1a32a28ffa,P2Sb2Se6,2.546,0.8091118722496741,0.8654039660858328,0.8096352520917903,0.8238161694562693
5d829e480507,AsISe,1.626,0.8769256041832649,0.8546433485467615,0.8922939066570377,0.8797309545139917
5e4ff1f56b4a,PbS,1.241,0.9092344521978302,0.650343878954608,0.8989011752508484,0.774841563510968
60065d3bbcf2,Cr2Mo2Se8,1.173,0.11540753492683573,0.06726477152590157,0.16297538792694538,0.12037197657623792
62bb754c4cb2,Cr2W2Te8,1.535,0.1289638506402299,0.041526083571243204,0.2157043936857912,0.10165187414584712
644f7c1c85c7,CrMo3S8,1.46,0.15203469315717819,0.10373908500634377,0.18540651134918334,0.15187835832826244
6523c349753c,WCr3Te8,0.99,0.11788005756718047,0.03217588746746414,0.18063093717315118,0.09278224941709082
671e6de2497a,AsBrTe,0.694,0.9402052450386356,0.9367622226264295,0.9275462117757319,0.909375314729425
6e2a4c6f4f57,SeTeW,1.394,0.1852441151233966,0.09577666773490179,0.2588201614869204,0.13792464260116344
70cbc0e44d36,BiISe,2.089,0.882026646158727,0.9130926115266643,0.9060614974704904,0.9184150831842451
70e7ab872359,HfZr3Se8,0.95,0.8968493498434547,0.21119206186027803,0.8422121530840236,0.1814864790882361
72b286460831,Cr2Mo2S8,1.344,0.13397004090923073,0.088506956623407,0.17868054483987267,0.14119076745652373
75ee10091f43,STeW,3.947,0.2588613608010821,0.12633513107878944,0.293574412341913,0.14980615271423614
7a8373382b33,S2Sn2,4.469,0.7480869565217392,0.8117045183886187,0.7185895220588732,0.8186754780085288
7fe9c5cb910c,BiClSe,0.746,0.9012659950993738,0.9149913009858883,0.9114345157094903,0.9329431043979801
81af2831dbb2,Hf2Zr2Se8,0.698,0.872033601680084,0.22068818654504807,0.8295197197316269,0.19036380645799403
82b85dfd7723,P2Sb2Te6,2.596,0.8309662231363342,0.8141023935211399,0.8244461820584097,0.8318788232153959
846b50801a93,Ti2Zr2Se8,1.767,0.7930311580087525,0.14726758612730104,0.7638579163771706,0.13196337355032484
899032b4ad0c,MoCr3Te8,1.409,0.10307548481434434,0.05374138799169809,0.18956882722248664,0.10193441139181726
916afba26723,STeW,3.622,0.20353150635189654,0.25785600367531003,0.22608183987075953,0.3590873032806925
961c37d6e527,MoCr3Se8,0.977,0.10133127956870946,0.04360619078444067,0.15867944792164904,0.11599713363282792
968a6902b7f5,BiClTe,1.175,0.9276419256949087,0.8887889726417731,0.901195181671016,0.9106283567992831
988b11badabb,Cr2Mo2Te8,1.105,0.1478241913948609,0.042874869383490076,0.21248264128938393,0.10419939260489264
99fd027b1d0b,BiClS,0.461,0.8612950513066775,0.915093427182981,0.909282666768928,0.9372956282273631
9c2979187585,WMo3S8,1.816,0.18145541609228757,0.15496557835185062,0.20529012181211795,0.207664962128622
a0dbdc6630fa,PbSe,1.603,0.9356047215922888,0.6923345252475832,0.9241098190833938,0.7879851211433209
a148361e5e9a,TiZr3Se8,1.321,0.8449046305182341,0.15571706748359732,0.8026965681371502,0.1449765152582613
a1d716aad84d,Mo2W2Se8,1.784,0.17165443252399779,0.13694362017804157,0.20507962466220597,0.18340493645210398
a7233837cfe9,CrMo3Se8,1.311,0.1422058472711851,0.07310290027810885,0.2003083671083162,0.1477262102974496
a80866a2c6b4,BiClSe,3.032,0.8670765689799649,0.8871721892119331,0.8702984144182764,0.9014430142409324
a84d988e38ac,BiITe,0.467,0.9551470222399124,0.9402381668608051,0.934812594962855,0.9417767775687267
a9f87eba4b96,CrW3S8,1.909,0.15585718316040248,0.14363666611212775,0.19196013068991447,0.17137706135001857
aa9a981d89aa, ,4.457,0.8312524804313143,0.8873854152588241,0.8340700960545168,0.8638507706444664
acdcd16c0d76,BiIS,1.858,0.9041433624516859,0.9215147394055303,0.9036235578633021,0.9238137730702655
b13beafa16aa,AsIS,2.033,0.8888039788780002,0.8775945085073535,0.8936670822854337,0.8952076420903963
b8fb10416122,ZrHf3Se8,0.725,0.8720215794994753,0.24325581395348836,0.8326247051860165,0.2009389569933805
badda86cab42,BiClTe,1.458,0.9689126084056038,0.9352259096361455,0.9359477403697092,0.9378360161127248
c04fc052f2ca,Mo2W2Te8,1.645,0.15538833929699014,0.13651962182358277,0.2958079752151466,0.1399480237647956
c55716558616,HfTi3Se8,1.191,0.7335326697197936,0.1281027133232261,0.7409042099373613,0.11728845700179799
c798e725e2fb,WCr3Se8,1.16,0.10105085381872775,0.05048002477547228,0.14675621564812047,0.11962596502188046
c96ef4fc869c,BiClS,1.181,0.8483753497558566,0.8986232012363546,0.8399466536166024,0.9094579449330604
cce78d90e899,Hf2Ti2Se8,1.409,0.787968727106055,0.1468527072154197,0.7652933296496389,0.13706490422052642
cf7927ab6730,Bi2P2Te6,1.814,0.8469443012163835,0.8665354510426141,0.8519428236956959,0.8422307722599669
d59c96fdfda1,SeSn,0.873,0.8979262756705261,0.7755266179521844,0.8617318463089176,0.772294966413053
da5fd2bb47af,ClSbTe,2.891,0.8369734857958577,0.7876067407152303,0.8418724917890628,0.8448925848104843
dc4259e69783,WCr3S8,1.317,0.11289167717958332,0.053509806491067145,0.13407648218978901,0.1114644811375034
de5756e4fbfa,BiBrSe,2.784,0.8624219992836764,0.8974579393343975,0.8708858861095728,0.9086603729103896
df0019ec24b5,ISbSe,2.431,0.8150698723330596,0.8569297123477697,0.8444249438246081,0.8702194028528185
e688959ea45b,SnTe,0.806,0.9490851585436408,0.7682974971708292,0.9092975411969437,0.7702073113614514
eadd37f03ca5,GeTe,0.952,0.9491394358477947,0.7227381817700204,0.9154990873691007,0.7472070142516989
eef072f845ce,CrW3Te8,1.592,0.12045847750865053,0.06823450235549244,0.22671026919698667,0.12242854226607965
f1e78a09001d,BrSbTe,1.315,0.8918512693502405,0.9135826636488846,0.882771812071691,0.9164275283284803
f4f45fcade85,BiBrTe,0.498,0.9527970027723689,0.9310224290380533,0.9275593381609087,0.9381112972308486
f705a30af945,ClSbSe,1.483,0.8282518682473704,0.9070105467726777,0.8438826392372596,0.9143032462366278
fba4cc0df459,AsClTe,0.634,0.9295310488553029,0.9400126636804658,0.9271260695172411,0.9136992993085054
